question,answer
"If the set $A = \{x \in R \mid ax^2 + ax + 1 = 0\}$ contains exactly one element, then $a =$",4
"Given sets $A = \{1, 2\}$ and $B = \{a, a^2 + 3\}$. If $A \cap B = \{1\}$, then the value of the real number $a$ is",1
"Let the universal set $U = \{1, 2, 3, 4, 5\}$. If set $M$ satisfies $\complement_U M = \{1, 3\}$, then $M =$",2 \in M
"Given sets $A = \{1, 2, 3, 5, 7, 11\}$ and $B = \{x \mid 3 < x < 15\}$, then the number of elements in $A \cap B$ is",3
"Given sets $A = \{(x, y) \mid x, y \in N^*, y \geqslant x\}$ and $B = \{(x, y) \mid x + y = 8\}$, then the number of elements in $A \cap B$ is",4
"Given set $A = \{(x, y) \mid x^2 + y^2 \leqslant 3, x \in Z, y \in Z\}$, then the number of elements in $A$ is",9
"Given sets $A = \{(x, y) \mid x^2 + y^2 = 1\}$ and $B = \{(x, y) \mid y = x\}$, then the number of elements in $A \cap B$ is",2
"Given sets $A = \{1, 2, 3, 4\}$ and $B = \{2, 4, 6, 8\}$, then the number of elements in $A \cap B$ is",2
"Given sets $A = \{x \mid x = 3n + 2, n \in N\}$ and $B = \{6, 8, 10, 12, 14\}$, then the number of elements in $A \cap B$ is",2
"Given sets $A = \{1, 2, 3\}$ and $B = \{2, 3\}$, then",B \subseteq A
"Given sets $A = \{x \mid x^2 - 2x > 0\}$ and $B = \{x \mid -\sqrt{5} < x < \sqrt{5}\}$, then",A \cup B = R
"Given sets $A = \{x \mid x^2 - 3x + 2 = 0, x \in R\}$ and $B = \{x \mid 0 < x < 5, x \in N\}$, then the number of sets $C$ satisfying $A \subseteq C \subseteq B$ is",4
"Let sets $M = \{1, 3, 5, 7, 9\}$ and $N = \{x \mid 2x > 7\}$, then $M \cap N =$","\{5, 7, 9\}"
"Let sets $A = \{x \mid -2 < x < 4\}$ and $B = \{2, 3, 4, 5\}$, then $A \cap B =$","\{2, 3\}"
"Let sets $M = \{x \mid 0 < x < 4\}$ and $N = \{x \mid \frac{1}{3} \leqslant x \leqslant 5\}$, then $M \cap N =$",\{x \mid \frac{1}{3} \leqslant x < 4\}
"Let sets $A = \{2, 3, 5, 7\}$ and $B = \{1, 2, 3, 5, 8\}$, then $A \cap B =$","\{2, 3, 5\}"
"Given sets $A = \{x \mid x - 1 \geqslant 0\}$ and $B = \{0, 1, 2\}$, then $A \cap B =$","\{1, 2\}"
"Given sets $A = \{1, 2, 3\}$ and $B = \{2, 3, 4\}$, then $A \cup B =$","\{1, 2, 3, 4\}"
"Given sets $A = \{1, 2, 3\}$ and $B = \{x \mid (x + 1)(x - 2) < 0, x \in Z\}$, then $A \cup B =$","\{0, 1, 2, 3\}"
"Given sets $A = \{1, 2, 3\}$ and $B = \{x \mid x^2 < 9\}$, then $A \cap B =$","\{1, 2\}"
"Given sets $A = \{1, 3, 5, 7\}$ and $B = \{x \mid 2 \leqslant x \leqslant 5\}$, then $A \cap B =$","\{3, 5\}"
"Given sets $A = \{0, 2, 4, 6, 8, 10\}$ and $B = \{4, 8\}$, then $\complement_A B =$","\{0, 2, 6, 10\}"
"Given sets $A = \{-2, -1, 0, 1, 2\}$ and $B = \{x \mid (x - 1)(x + 2) < 0\}$, then $A \cap B =$","\{-1, 0\}"
"Given sets $A = \{x \mid -1 < x < 2\}$ and $B = \{x \mid 0 < x < 3\}$, then $A \cup B =$","(-1, 3)"
"Given sets $A = \{-2, -1, 0, 1, 2\}$ and $B = \{x \mid 0 \leqslant x \leqslant \frac{5}{2}\}$, then $A \cap B =$","\{0, 1, 2\}"
"Given sets $M = \{x \mid \sqrt{x} < 4\}$ and $N = \{x \mid 3x \geqslant 1\}$, then $M \cap N =$",\{x \mid \frac{1}{3} \leqslant x < 16\}
"Given sets $A = \{-1, 1, 2, 4\}$ and $B = \{x \mid |x - 1| \leqslant 1\}$, then $A \cap B =$","\{1, 2\}"
"Given the universal set $U = \{1, 2, 3, 4, 5\}$, and sets $M = \{1, 2\}$, $N = \{3, 4\}$, then $\complement_U (M \cup N) =$",\{5\}
"Given sets $S = \{s \mid s = 2n + 1, n \in Z\}$ and $T = \{t \mid t = 4n + 1, n \in Z\}$, then $S \cap T =$",T
"Given the universal set $U = \{1, 2, 3, 4, 5, 6\}$, and sets $A = \{1, 3, 6\}$, $B = \{2, 3, 4\}$, then $A \cap (\complement_U B) =$","\{1, 6\}"
"Given set $A = \{x \mid x^2 - 3x - 4 < 0\}$ and $B = \{-4, 1, 3, 5\}$, then $A \cap B =$","\{1, 3\}"
